,index,GradCAM_mean,GradATT_mean,ATMAN_mean,chefer_mean,rand_mean,GradCAM_mask,GradATT_mask,ATMAN_mask,chefer_mask,rand_mask,GradCAM_std,GradATT_std,ATMAN_std,chefer_std,rand_std
137,137,0.545227647,2.849274397,0.365244329,1.015268564,1.001991987,0.384033203,0.444651753,0.498779297,0.508776426,0.499883145,0.407254696,2.445055008,0.188103452,0.883286774,0.561985195
138,138,1.419128299,1.553964853,5.356633663,0.05306055,1.337473869,0.501953125,0.474339575,0.551757813,0.581385195,0.502073646,2.612133503,3.00453949,2.391012192,0.052094571,2.744095564
139,139,1.174330115,0.900848091,0.61055541,1.117367029,1.236697674,0.470947266,0.442911416,0.451660156,0.549203038,0.496950507,0.377755761,0.637574375,0.448623598,0.805946648,0.87252301
140,140,2.802777529,3.746561527,1.770932555,2.747260332,2.808408737,0.553710938,0.479792029,0.360351563,0.547153473,0.493163258,2.724195957,3.293068886,2.017956018,1.818024397,2.626927853
141,141,1.88831985,0.749511123,1.014329553,0.958995759,0.984864712,0.396972656,0.43905738,0.419677734,0.382263273,0.502636254,1.075436473,0.366781563,0.337147266,0.938160896,0.986180305
142,142,6.104478836,8.675562859,9.278764725,4.837081909,3.105275869,0.328369141,0.303758502,0.414794922,0.34091723,0.504127443,3.399935007,1.484195709,0.931478679,2.962865114,3.876182556
143,143,3.388947248,2.375156164,1.789770126,1.954354525,1.675968528,0.305908203,0.25744012,0.400390625,0.346356213,0.502780974,0.967857838,1.171684861,1.042598486,0.323314846,0.516447544
144,144,0.831890106,1.987551928,0.787823141,1.230351448,0.443305016,0.405029297,0.37504372,0.523925781,0.526070952,0.498257637,0.523048341,1.572064757,0.532490969,0.966940463,0.178675011
145,145,3.08597374,4.116151333,4.650548458,3.97913599,2.918996096,0.585449219,0.576991141,0.618164063,0.63374424,0.496442378,1.308836818,2.017462015,1.256124973,2.185937643,1.743495941
146,146,1.165023327,5.945841312,0.412166029,0.602481782,0.046620082,0.268554688,0.270392388,0.512695313,0.31576556,0.497777432,1.5247823,1.601291418,0.642945111,0.473033369,0.029808139
147,147,0.470923752,0.90152514,0.722310424,0.341041535,0.318480909,0.53515625,0.462693214,0.298828125,0.582493663,0.506568789,0.932680368,1.333248973,0.322460294,0.312620968,0.329273701
148,148,1.535428643,0.725536346,1.49653995,1.260080576,1.735765696,0.318359375,0.352894992,0.419677734,0.547762692,0.501310766,0.262231708,0.37292093,1.15800035,0.813042402,1.543832302
149,149,1.665024638,2.093012094,2.720199347,0.729044557,1.979782939,0.329833984,0.338519216,0.488037109,0.372982681,0.501437426,0.745379388,1.208110571,1.599929929,0.932855785,2.163986683
150,150,0.346211284,3.145889997,2.913724184,0.51315552,2.209861994,0.326171875,0.268280506,0.516113281,0.318729758,0.500600517,0.51006043,3.266091824,1.659059286,1.007851839,3.570930243
151,151,2.611052275,3.956141233,3.359020948,4.094082832,3.145401478,0.567871094,0.589256346,0.607910156,0.527047932,0.505489945,1.212811351,1.333832979,0.990230143,2.310297728,0.86536032
152,152,1.167956591,3.703768492,1.992297173,2.212744236,1.933401108,0.384765625,0.409728289,0.502929688,0.317165971,0.50364536,1.109924793,1.755923748,1.198818564,2.899859905,2.148105383
153,153,0.42118153,1.016571045,0.711312234,3.327527285,1.48893702,0.438476563,0.480773091,0.523925781,0.332268715,0.508983374,0.239158124,0.718152225,0.434068531,1.137398124,1.174515843
154,154,0.607989013,0.947714984,0.977202415,0.474335343,0.323592991,0.361816406,0.351815015,0.641113281,0.26660645,0.505661011,0.459102809,1.110630512,0.973037481,0.599885404,0.257823288
155,155,1.595651031,3.700870514,1.464132667,3.756519318,1.252501845,0.361572266,0.285305172,0.328613281,0.366230845,0.501884997,1.257376313,1.628377676,0.954600513,1.957112789,1.20374465
156,156,1.196617842,1.833678484,2.395632505,1.582590938,1.741545558,0.454589844,0.523214698,0.518554688,0.473894805,0.509827971,1.007990241,2.241455317,0.178624332,1.432063937,1.622294188
157,157,1.011633992,0.440214604,0.516550243,0.800568283,0.960094631,0.4140625,0.403035015,0.352294922,0.458756894,0.505086005,0.764004409,0.419410765,0.448132128,0.865440965,0.971347988
158,158,1.165407062,0.797277093,0.480062872,0.922965646,1.332267523,0.231933594,0.257852137,0.416015625,0.355598003,0.507006466,0.849033535,0.565045297,0.398482651,0.447501719,2.42936492
159,159,5.784842968,4.909760952,3.912001133,3.681415319,3.858004808,0.250976563,0.348360598,0.527832031,0.367383957,0.5025298,0.854899406,1.687981367,0.760340631,1.815134287,1.353916526
160,160,1.628240228,1.902396798,3.023023844,3.019091845,4.259667873,0.396484375,0.431267411,0.587890625,0.31745857,0.492486089,0.401485324,0.656328022,2.686362028,2.062077761,2.557873726
161,161,0.333659381,0.820570767,0.271590084,0.252413422,0.335712552,0.312744141,0.317684174,0.497070313,0.423971325,0.502133369,0.232686847,1.115737915,0.089016043,0.171652839,0.332643837
162,162,3.620703936,4.72549963,2.21335721,3.034594297,2.134171247,0.295410156,0.273475021,0.457763672,0.290629625,0.497573018,1.847002864,0.973209381,3.845005751,1.884075522,1.29041326
163,163,0.793934226,0.834833741,0.971680462,1.06222856,0.705168188,0.553222656,0.497076362,0.532714844,0.48986429,0.504098415,0.089794137,0.249760285,0.273812562,0.497773826,0.065916561
164,164,1.981789827,1.259750724,1.55947566,1.143765092,2.035401106,0.432617188,0.45713535,0.51171875,0.388453782,0.499601245,0.948374093,0.327565193,0.414464623,0.354477316,1.091854453
165,165,0.440396786,2.604058504,5.091009617,4.475515842,1.26711452,0.398681641,0.456891656,0.515625,0.363654315,0.498302996,0.825078309,3.46282959,2.730348349,0.904296398,2.360682964
166,166,3.493419409,2.799109697,2.638745546,1.964700341,2.079576969,0.290771484,0.263897389,0.498779297,0.356411368,0.50152725,1.713894606,1.67657721,1.519124389,1.490829349,1.241720676
167,167,2.813859463,3.622586012,5.327446938,3.751268387,4.072132587,0.526367188,0.515242815,0.453857422,0.452359617,0.509468317,1.451112866,1.113832116,3.251393318,0.970062494,1.237889767
168,168,0.792232573,1.074674606,1.35005343,1.363565087,0.781562746,0.595214844,0.579062402,0.525878906,0.508759081,0.505073011,0.571833491,0.709668219,0.739241779,1.464319944,0.620191693
169,169,0.835009515,0.773088872,0.784451663,3.311870575,2.101124048,0.469726563,0.445425659,0.407958984,0.387774169,0.500043452,0.552167296,0.454747379,0.405315965,2.184673548,1.310593128
170,170,1.172223091,1.631278634,0.24009566,1.001020312,2.265458822,0.455322266,0.422556281,0.515625,0.465726882,0.492941052,2.184809685,1.854798436,0.091884755,1.25077796,2.285938501
171,171,2.943543434,3.825086355,3.063446522,2.605538607,1.946897507,0.334472656,0.333728671,0.623046875,0.326839209,0.496774435,0.297343373,0.999135733,1.28734076,1.291596889,0.882387996
172,172,1.627156496,1.959986687,0.94960326,0.626225471,1.464784503,0.364013672,0.425427437,0.496826172,0.438205093,0.491442472,2.097147942,1.077595115,0.826709986,0.354370534,0.834098279
173,173,2.715983152,2.894859791,3.300156832,2.045253277,2.676036119,0.430419922,0.34051457,0.693359375,0.432640612,0.504727483,0.827215135,1.127799749,1.518122077,0.644259274,1.028909206
174,174,2.551605225,4.693283081,3.966655016,4.364806652,2.346491337,0.561035156,0.489383936,0.355957031,0.508057356,0.493797541,2.267714024,1.883089662,1.288514376,3.181346893,1.795836449
175,175,2.132107973,2.29780364,3.245717764,3.159038305,2.79829073,0.373046875,0.335600257,0.600097656,0.403081656,0.502251863,0.935469151,0.928160131,0.18395862,1.274292588,0.832042813
176,176,2.440346479,2.36248374,1.47420752,2.446775198,2.356094122,0.382324219,0.473562092,0.422119141,0.329079092,0.497581273,1.112861514,1.282660723,0.495272458,1.711007476,1.201682568
177,177,0.241603956,0.316470951,2.676211119,0.170288324,1.682400942,0.421630859,0.412686646,0.73828125,0.413780034,0.499651551,0.341209978,0.095415063,1.46287477,0.004260196,1.003839731
178,178,1.121679544,0.817056477,1.235026956,2.256284475,1.504413962,0.458740234,0.437717587,0.499511719,0.376087874,0.508244812,0.655216753,0.528358042,0.309766144,1.755690217,1.796164632
179,179,4.010409832,3.321058273,0.655316949,3.974091291,4.575103283,0.301513672,0.292405188,0.538574219,0.310841799,0.499396086,1.75156343,2.046103716,0.557911813,1.767707467,2.418278694
180,180,1.558685303,2.451357603,2.469524145,1.784559488,2.02155447,0.239257813,0.191782519,0.570800781,0.364419103,0.497512549,0.143633395,1.705651283,0.854959726,1.035087347,0.786058724
181,181,0.044384178,4.737699032,8.276609421,3.61755991,3.051390409,0.321044922,0.385612249,0.622558594,0.322000504,0.49620223,0.092650414,3.491980553,1.430724502,2.687133312,3.214152575
182,182,1.770629764,2.77747798,1.699486375,2.320502996,2.235533714,0.333984375,0.306088984,0.452148438,0.38036859,0.491858959,0.75736618,0.851366401,0.63188231,0.661600351,2.221021414
